Sample,event_short,Construct
1,5C,Transgenic
2,5C,Transgenic
3,8-9D,Control
4,13-15B,Transgenic
5,2H,Transgenic
6,8-9D,Control
7,8-9D,Control
8,13-15E,Transgenic
9,5C,Transgenic
10,CT3,Control
11,8-9D,Control
12,2H,Transgenic
13,13-15E,Transgenic
14,13-15E,Transgenic
15,13-15E,Transgenic
16,4A,Transgenic
17,5C,Transgenic
18,16-20,Control
19,16-20,Control
20,CT3,Control
21,2H,Transgenic
22,5C,Transgenic
23,CT3,Control
24,1C,Transgenic
25,13-15B,Transgenic
26,13-15B,Transgenic
27,1C,Transgenic
28,CT3,Control
29,16-20,Control
30,5A,Transgenic
31,2H,Transgenic
32,13-15E,Transgenic
33,5A,Transgenic
34,1C,Transgenic
35,1C,Transgenic
36,13-15B,Transgenic
37,4A,Transgenic
38,5C,Transgenic
39,13-15E,Transgenic
40,16-20,Control
41,8-9D,Control
42,1C,Transgenic
43,16-20,Control
44,7,Transgenic
45,5C,Transgenic
46,5C,Transgenic
47,4A,Transgenic
48,5C,Transgenic
49,2H,Transgenic
50,2H,Transgenic
51,5A,Transgenic
52,2H,Transgenic
53,4A,Transgenic
54,4A,Transgenic
55,4A,Transgenic
56,5C,Transgenic
57,CT3,Control
58,1C,Transgenic
59,13-15E,Transgenic
60,4A,Transgenic
61,5C,Transgenic
62,13-15E,Transgenic
63,8-9D,Control
64,5A,Transgenic
65,5A,Transgenic
66,8-9D,Control
67,13-15E,Transgenic
68,13-15E,Transgenic
69,2H,Transgenic
70,CT3,Control
71,7,Transgenic
72,5C,Transgenic
73,13-15E,Transgenic
74,8-9D,Control
75,8-9D,Control
76,8-9D,Control
77,16-20,Control
78,5A,Transgenic
79,CT3,Control
80,CT3,Control
81,CT3,Control
82,5A,Transgenic
83,5A,Transgenic
84,16-20,Control
85,13-15B,Transgenic
86,4A,Transgenic
87,5C,Transgenic
88,16-20,Control
89,7,Transgenic
90,7,Transgenic
91,7,Transgenic
92,1C,Transgenic
93,13-15B,Transgenic
94,13-15B,Transgenic
95,5A,Transgenic
96,8-9D,Control
97,16-20,Control
98,7,Transgenic
99,8-9D,Control
100,1C,Transgenic
101,CT3,Control
102,16-20,Control
103,5A,Transgenic
104,16-20,Control
105,5A,Transgenic
106,CT3,Control
107,4A,Transgenic
108,7,Transgenic
109,7,Transgenic
110,2H,Transgenic
111,13-15B,Transgenic
112,13-15B,Transgenic
113,1C,Transgenic
114,16-20,Control
115,4A,Transgenic
116,7,Transgenic
117,5C,Transgenic