"Chaney Hart, Jane O'Sullivan",,,,,,,
Date: 9/1/22,,,,,,,
Pre-Dawn Water Potential and Fluoresence  Sampling,,,,,,,
Leaf 10,,,,,,,
,,,,,,,
,,,,,,,
Row,Column,ID,Soil Mositure (m/ m3),Fv/Fm,obs,Bar,mPA
3,45,LCOR-316,,,,,
5,45,LCOR-304,,,,,
7,45,LCOR-439,,,,,
12,45,LCOR-234,,,,,
13,45,LCOR-461,,,,,
14,45,LCOR-519,,,,,
6,46,LCOR-032,,,,,
7,46,LCOR-492,,,,,
9,46,LCOR-523,,,,,
11,46,LCOR-025,,,,,
13,46,LCOR-102,,,,,
14,46,LCOR-155,,,,,
15,46,LCOR-490,,,,,
2,47,LCOR-374,,,,,
4,47,LCOR-232,,,,,
6,47,LCOR-419,,,,,
10,47,LCOR-453,,,,,
11,47,LCOR-223,,,,,
14,47,LCOR-159,,,,,
4,48,LCOR-153,,,,,
7,48,LCOR-509,,,,,
9,48,LCOR-466,,,,,
13,48,LCOR-555,,,,,
15,48,LCOR-447,,,,,
3,49,LCOR-270,,,,,
11,49,LCOR-477,,,,,
13,49,LCOR-615,,,,,
7,50,LCOR-440,,,,,
8,50,LCOR-501,,,,,
10,50,LCOR-262,,,,,
12,50,LCOR-081,,,,,
13,50,LCOR-210,,,,,
14,50,LCOR-417,,,,,
11,51,LCOR-225,,,,,
13,51,LCOR-478,,,,,
14,51,LCOR-567,,,,,
3,52,LCOR-389,,,,,
4,52,LCOR-246,,,,,
6,52,LCOR-430,,,,,
7,52,LCOR-465,,,,,
9,52,LCOR-183,,,,,
3,53,LCOR-288,,,,,
,,Priority 2,,,,,
Row,Column,Row,Soil Mositure (m/ m3),Fv/Fm,obs,Bar,mPA
15,46,LCOR-490,,,,,
13,47,LCOR-216,,,,,
15,47,LCOR-426,,,,,
3,48,LCOR-505,,,,,
8,48,LCOR-549,,,,,
9,48,LCOR-466,,,,,
6,49,LCOR-029,,,,,
5,50,LCOR-208,,,,,
5,51,LCOR-532,,,,,
4,53,LCOR-407,,,,,
5,53,LCOR-580,,,,,
13,53,LCOR-050,,,,,
,,Priority 3,,,,,
Row,Column,Row,Soil Mositure (m/ m3),Fv/Fm,obs,Bar,mPA
6,45,LCOR-494,,,,,
5,47,LCOR-315,,,,,
7,47,LCOR-365,,,,,
14,48,LCOR-189,,,,,
7,49,LCOR-056,,,,,
15,49,LCOR-456,,,,,
11,50,LCOR-172,,,,,
15,50,LCOR-390,,,,,
6,51,LCOR-431,,,,,
15,52,LCOR-576,,,,,
6,53,LCOR-566,,,,,
7,53,LCOR-097,,,,,