Ground sampling for drone analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highlighted cells are backups ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procedure:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
insert cord of leaf clip into mini PAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
connect fiber optic cable into miniPAM and handheld leaf clip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ensure that the distance between the end of the fiber optic cable and the leaf clip does not move between measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For each tree:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clamp onto mature leaf (7-15 leaves down from the apical bud) on South side of tree and measure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record temperature of leaf.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Press start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
record yield number and ETR number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
record observation number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can flag measured leaf for ease of re-measuring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
row,column,ID,event_short,8:00 temp,8:00 yield,8:00 ETR,8:00 obs,9:00 temp,9:00 yield,9:00 ETR,9:00 obs,row,column,ID,event_short,10:00 temp,10:00 yield,10:00 ETR,10:00 obs,11:00 temp,11:00 yield,11:00 ETR,11:00 obs,row,column,ID,event_short,12:00 temp,12:00 yield,12:00 ETR,12:00 obs
3,3,LCOR-064,2H,,,,,,,,,3,3,LCOR-064,2H,,,,,,,,,3,3,LCOR-064,2H,,,,
2,4,LCOR-087,8-9D,,,,,,,,,2,4,LCOR-087,8-9D,,,,,,,,,2,4,LCOR-087,8-9D,,,,
14,4,LCOR-201,CT3,,,,,,,,,14,4,LCOR-201,CT3,,,,,,,,,14,4,LCOR-201,CT3,,,,
1,5,LCOR-082,13-15E,,,,,,,,,1,5,LCOR-082,13-15E,,,,,,,,,1,5,LCOR-082,13-15E,,,,
6,5,LCOR-573,5C,,,,,,,,,6,5,LCOR-573,5C,,,,,,,,,6,5,LCOR-573,5C,,,,
7,5,LCOR-068,2H,,,,,,,,,7,5,LCOR-068,2H,,,,,,,,,7,5,LCOR-068,2H,,,,
9,5,LCOR-346,CT3,,,,,,,,,9,5,LCOR-346,CT3,,,,,,,,,9,5,LCOR-346,CT3,,,,
12,5,LCOR-563,5C,,,,,,,,,12,5,LCOR-563,5C,,,,,,,,,12,5,LCOR-563,5C,,,,
14,5,LCOR-314,16-20,,,,,,,,,14,5,LCOR-314,16-20,,,,,,,,,14,5,LCOR-314,16-20,,,,
3,6,LCOR-069,2H,,,,,,,,,3,6,LCOR-069,2H,,,,,,,,,3,6,LCOR-069,2H,,,,
7,6,LCOR-003,4A,,,,,,,,,7,6,LCOR-003,4A,,,,,,,,,7,6,LCOR-003,4A,,,,
10,6,LCOR-251,5A,,,,,,,,,10,6,LCOR-251,5A,,,,,,,,,10,6,LCOR-251,5A,,,,
4,7,LCOR-510,16-20,,,,,,,,,4,7,LCOR-510,16-20,,,,,,,,,4,7,LCOR-510,16-20,,,,
3,8,LCOR-036,5C,,,,,,,,,3,8,LCOR-036,5C,,,,,,,,,3,8,LCOR-036,5C,,,,
5,8,LCOR-078,13-15E,,,,,,,,,5,8,LCOR-078,13-15E,,,,,,,,,5,8,LCOR-078,13-15E,,,,
8,8,LCOR-250,5A,,,,,,,,,8,8,LCOR-250,5A,,,,,,,,,8,8,LCOR-250,5A,,,,
3,9,LCOR-001,4A,,,,,,,,,3,9,LCOR-001,4A,,,,,,,,,3,9,LCOR-001,4A,,,,
14,9,LCOR-511,16-20,,,,,,,,,14,9,LCOR-511,16-20,,,,,,,,,14,9,LCOR-511,16-20,,,,
15,10,LCOR-203,CT3,,,,,,,,,15,10,LCOR-203,CT3,,,,,,,,,15,10,LCOR-203,CT3,,,,
10,12,LCOR-561,5C,,,,,,,,,10,12,LCOR-561,5C,,,,,,,,,10,12,LCOR-561,5C,,,,
11,12,LCOR-035,5C,,,,,,,,,11,12,LCOR-035,5C,,,,,,,,,11,12,LCOR-035,5C,,,,
8,13,LCOR-544,4A,,,,,,,,,8,13,LCOR-544,4A,,,,,,,,,8,13,LCOR-544,4A,,,,
9,13,LCOR-320,16-20,,,,,,,,,9,13,LCOR-320,16-20,,,,,,,,,9,13,LCOR-320,16-20,,,,
13,14,LCOR-014,4A,,,,,,,,,13,14,LCOR-014,4A,,,,,,,,,13,14,LCOR-014,4A,,,,
9,15,LCOR-307,13-15E,,,,,,,,,9,15,LCOR-307,13-15E,,,,,,,,,9,15,LCOR-307,13-15E,,,,
8,16,LCOR-516,16-20,,,,,,,,,8,16,LCOR-516,16-20,,,,,,,,,8,16,LCOR-516,16-20,,,,
15,16,LCOR-614,13-15E,,,,,,,,,15,16,LCOR-614,13-15E,,,,,,,,,15,16,LCOR-614,13-15E,,,,
7,17,LCOR-411,8-9D,,,,,,,,,7,17,LCOR-411,8-9D,,,,,,,,,7,17,LCOR-411,8-9D,,,,
13,17,LCOR-502,CT3,,,,,,,,,13,17,LCOR-502,CT3,,,,,,,,,13,17,LCOR-502,CT3,,,,
15,17,LCOR-271,5C,,,,,,,,,15,17,LCOR-271,5C,,,,,,,,,15,17,LCOR-271,5C,,,,
5,18,LCOR-085,8-9D,,,,,,,,,5,18,LCOR-085,8-9D,,,,,,,,,5,18,LCOR-085,8-9D,,,,
13,18,LCOR-572,5C,,,,,,,,,13,18,LCOR-572,5C,,,,,,,,,13,18,LCOR-572,5C,,,,
5,20,LCOR-166,5A,,,,,,,,,5,20,LCOR-166,5A,,,,,,,,,5,20,LCOR-166,5A,,,,
2,21,LCOR-098,8-9D,,,,,,,,,2,21,LCOR-098,8-9D,,,,,,,,,2,21,LCOR-098,8-9D,,,,
6,21,LCOR-012,4A,,,,,,,,,6,21,LCOR-012,4A,,,,,,,,,6,21,LCOR-012,4A,,,,
9,21,LCOR-584,5A,,,,,,,,,9,21,LCOR-584,5A,,,,,,,,,9,21,LCOR-584,5A,,,,
11,21,LCOR-450,2H,,,,,,,,,11,21,LCOR-450,2H,,,,,,,,,11,21,LCOR-450,2H,,,,
4,22,LCOR-165,5A,,,,,,,,,4,22,LCOR-165,5A,,,,,,,,,4,22,LCOR-165,5A,,,,
6,22,LCOR-340,CT3,,,,,,,,,6,22,LCOR-340,CT3,,,,,,,,,6,22,LCOR-340,CT3,,,,
13,22,LCOR-514,16-20,,,,,,,,,13,22,LCOR-514,16-20,,,,,,,,,13,22,LCOR-514,16-20,,,,
6,23,LCOR-106,16-20,,,,,,,,,6,23,LCOR-106,16-20,,,,,,,,,6,23,LCOR-106,16-20,,,,
11,23,LCOR-090,8-9D,,,,,,,,,11,23,LCOR-090,8-9D,,,,,,,,,11,23,LCOR-090,8-9D,,,,
14,23,LCOR-290,8-9D,,,,,,,,,14,23,LCOR-290,8-9D,,,,,,,,,14,23,LCOR-290,8-9D,,,,
4,24,LCOR-608,13-15E,,,,,,,,,4,24,LCOR-608,13-15E,,,,,,,,,4,24,LCOR-608,13-15E,,,,
10,24,LCOR-546,4A,,,,,,,,,10,24,LCOR-546,4A,,,,,,,,,10,24,LCOR-546,4A,,,,
13,24,LCOR-084,13-15E,,,,,,,,,13,24,LCOR-084,13-15E,,,,,,,,,13,24,LCOR-084,13-15E,,,,
1,25,LCOR-214,2H,,,,,,,,,1,25,LCOR-214,2H,,,,,,,,,1,25,LCOR-214,2H,,,,
7,25,LCOR-160,5A,,,,,,,,,7,25,LCOR-160,5A,,,,,,,,,7,25,LCOR-160,5A,,,,
8,26,LCOR-300,13-15E,,,,,,,,,8,26,LCOR-300,13-15E,,,,,,,,,8,26,LCOR-300,13-15E,,,,
9,26,LCOR-341,CT3,,,,,,,,,9,26,LCOR-341,CT3,,,,,,,,,9,26,LCOR-341,CT3,,,,
10,26,LCOR-095,8-9D,,,,,,,,,10,26,LCOR-095,8-9D,,,,,,,,,10,26,LCOR-095,8-9D,,,,
10,27,LCOR-322,16-20,,,,,,,,,10,27,LCOR-322,16-20,,,,,,,,,10,27,LCOR-322,16-20,,,,
13,27,LCOR-295,13-15E,,,,,,,,,13,27,LCOR-295,13-15E,,,,,,,,,13,27,LCOR-295,13-15E,,,,
6,28,LCOR-227,4A,,,,,,,,,6,28,LCOR-227,4A,,,,,,,,,6,28,LCOR-227,4A,,,,
14,46,LCOR-155,5A,,,,,,,,,14,46,LCOR-155,5A,,,,,,,,,14,46,LCOR-155,5A,,,,
4,47,LCOR-232,4A,,,,,,,,,4,47,LCOR-232,4A,,,,,,,,,4,47,LCOR-232,4A,,,,
6,48,LCOR-412,8-9D,,,,,,,,,6,48,LCOR-412,8-9D,,,,,,,,,6,48,LCOR-412,8-9D,,,,
8,49,LCOR-578,5A,,,,,,,,,8,49,LCOR-578,5A,,,,,,,,,8,49,LCOR-578,5A,,,,
12,49,LCOR-460,2H,,,,,,,,,12,49,LCOR-460,2H,,,,,,,,,12,49,LCOR-460,2H,,,,
15,49,LCOR-456,2H,,,,,,,,,15,49,LCOR-456,2H,,,,,,,,,15,49,LCOR-456,2H,,,,
5,50,LCOR-208,CT3,,,,,,,,,5,50,LCOR-208,CT3,,,,,,,,,5,50,LCOR-208,CT3,,,,
6,50,LCOR-457,2H,,,,,,,,,6,50,LCOR-457,2H,,,,,,,,,6,50,LCOR-457,2H,,,,
8,50,LCOR-501,CT3,,,,,,,,,8,50,LCOR-501,CT3,,,,,,,,,8,50,LCOR-501,CT3,,,,
14,51,LCOR-567,5C,,,,,,,,,14,51,LCOR-567,5C,,,,,,,,,14,51,LCOR-567,5C,,,,