row,column,ID,event,event_short,block,H497,SPAD,MPA
7,16,LCOR-610,LC-102 13-15E,13-15E,large,3185.16,,
10,13,LCOR-077,LC-102 13-15E,13-15E,large,3992.88,,
4,24,LCOR-608,LC-102 13-15E,13-15E,large,3322.32,,
10,21,LCOR-518,LC-102 16-20,16-20,large,3596.64,,
8,16,LCOR-516,LC-102 16-20,16-20,large,2286,,
12,52,LCOR-215,LC-102 2H,2H,small,2804.16,,
7,20,LCOR-059,LC-102 2H,2H,large,3870.96,,
5,6,LCOR-062,LC-102 2H,2H,large,3108.96,,
1,28,LCOR-537,LC-102 4A,4A,large,3108.96,,
4,47,LCOR-232,LC-102 4A,4A,small,3048,,
7,6,LCOR-003,LC-102 4A,4A,large,3962.4,,
8,49,LCOR-578,LC-102 5A,5A,small,2529.84,,
4,52,LCOR-246,LC-102 5A,5A,small,2499.36,,
3,20,LCOR-242,LC-102 5A,5A,large,3535.68,,
9,17,LCOR-275,LC-102 5C,5C,large,3200.4,,
13,13,LCOR-030,LC-102 5C,5C,large,3931.92,,
13,15,LCOR-562,LC-102 5C,5C,large,3992.88,,
14,50,LCOR-417,LC-102 8-9D,8-9D,small,2240.28,,
7,53,LCOR-097,LC-102 8-9D,8-9D,small,2255.52,,
3,53,LCOR-288,LC-102 8-9D,8-9D,small,2880.36,,
15,10,LCOR-203,CT717 3,CT3,large,3474.72,,
6,24,LCOR-503,CT717 3,CT3,large,2987.04,,
13,9,LCOR-504,CT717 3,CT3,large,2865.12,,