row,column,ID,DS_1,DS_18,DS_32,DS_55,SPAD_18,SPAD_32,SPAD_55
1,1,LCOR-1143,,,,,,#N/A,
2,1,LCOR-1088,,,,,,#N/A,
3,1,LCOR-1141,,,,,,#N/A,
4,1,LCOR-1064,,,,,,#N/A,
5,1,LCOR-1145,,,,,,#N/A,
6,1,LCOR-1150,,,,,,#N/A,
7,1,LCOR-1071,,,,,,#N/A,
8,1,LCOR-1247,,,,,,#N/A,
9,1,LCOR-1024,,,,,,#N/A,
10,1,LCOR-1057,,,,,,#N/A,
11,1,LCOR-1060,,,,,,#N/A,
12,1,LCOR-1063,,,,,,#N/A,
13,1,LCOR-1081,,,,,,#N/A,
14,1,LCOR-1097,,,,,,#N/A,
15,1,LCOR-1199,,,,,,#N/A,
16,1,LCOR-1053,,,,,,#N/A,
1,2,LCOR-1101,,,,,,#N/A,
2,2,LCOR-1137,,,,,,#N/A,
3,2,LCOR-1075,,,,,,#N/A,
4,2,LCOR-1022,,,,,,#N/A,
5,2,LCOR-1061,,,,,,#N/A,
6,2,LCOR-1078,,,,,,#N/A,
7,2,LCOR-1080,,,,,,#N/A,
8,2,LCOR-1085,,,,,,#N/A,
9,2,LCOR-1091,,,,,,#N/A,
10,2,LCOR-1106,,,,,,#N/A,
11,2,LCOR-1163,,,,,,#N/A,
12,2,LCOR-1168,,,,,,#N/A,
13,2,LCOR-1183,,,,,,#N/A,
14,2,LCOR-1187,,,,,,#N/A,
15,2,LCOR-1198,,,,,,#N/A,
16,2,LCOR-1076,,,,,,#N/A,
1,3,LCOR-1001,,,,,,#N/A,
2,3,LCOR-125,0,1,1,,26.4,23.7,
3,3,LCOR-064,0,1,1,2,25,22.9,19.7
4,3,LCOR-173,0,1,1,1,26.8,27.1,27
5,3,LCOR-104,1,2,2,3,22.5,26.3,23.5
6,3,LCOR-552,0,0,0,0,31,23.3,33.5
7,3,LCOR-395,0,0,0,1,29.5,17.2,33.6
8,3,LCOR-228,0,1,1,1,28.9,24,29.5
9,3,LCOR-362,0,1,1,2,23.4,0,21.4
10,3,LCOR-259,0,0,0,1,30.8,28.6,24.7
11,3,LCOR-258,0,1,1,1,30.1,19.6,23.5
12,3,LCOR-188,3,4,4,4,X,#N/A,25.7
13,3,LCOR-294,0,1,1,2,27.5,27.5,26.2
14,3,LCOR-253,0,1,1,1,28.3,21.3,29
15,3,LCOR-213,0,1,1,1,26,27.2,32.8
16,3,LCOR-1047,,,,,,#N/A,
1,4,LCOR-1002,,,,,,#N/A,
2,4,LCOR-087,0,0,0,2,30.3,22.4,25.2
3,4,LCOR-308,1,2,2,3,17.7,28.8,25.3
4,4,LCOR-249,0,1,1,1,23.4,29.7,31.3
5,4,LCOR-244,5,5,5,5,X,#N/A,NA
6,4,LCOR-607,1,2,2,2,24.4,21.8,21.2
7,4,LCOR-396,0,1,1,1,31.8,29.8,28.7
8,4,LCOR-325,3,4,4,,17.4,17.7,
9,4,LCOR-054,0,0,0,1,29.8,23.3,27
10,4,LCOR-109,0,0,0,,28.5,17,
11,4,LCOR-268,0,0,0,1,30.1,28.2,31.3
12,4,LCOR-328,0,1,1,,25.4,27.4,
13,4,LCOR-107,3,4,4,4,19.4,16.7,25.8
14,4,LCOR-201,0,2,2,1,27.8,19.1,36.4
15,4,LCOR-211,0,0,0,1,30.4,25.5,29.7
16,4,LCOR-1051,,,,,,#N/A,
1,5,LCOR-082,0,1,1,1,missing measurement,#N/A,24
2,5,LCOR-344,0,1,1,2,27.9,30.4,19.2
3,5,LCOR-070,0,0,0,1,35.2,28.4,31
4,5,LCOR-282,1,2,2,2,33.9,24.9,27.6
5,5,LCOR-027,1,2,2,3,26,30,23.4
6,5,LCOR-573,0,0,0,1,32.1,25.2,23.3
7,5,LCOR-068,3,4,4,4,21.3,#N/A,26.6
8,5,LCOR-575,0,0,0,1,31.9,26.2,30
9,5,LCOR-346,1,0,0,1,29.3,23.2,30.5
10,5,LCOR-092,0,0,0,1,29.4,25.5,23.6
11,5,LCOR-142,1,1,1,2,24.3,21.7,23.2
12,5,LCOR-563,1,2,2,3,20.6,16.3,23.5
13,5,LCOR-353,,X,X,,X,26.6,
14,5,LCOR-314,0,0,0,1,29.1,26.3,25.2
15,5,LCOR-042,0,1,1,1,27.1,18.3,25.1
16,5,LCOR-1059,,,,,,#N/A,
1,6,LCOR-1003,,,,,,#N/A,
2,6,LCOR-577,0,0,0,1,29.9,22.4,32.8
3,6,LCOR-069,1,2,2,4,26.1,30.7,26.4
4,6,LCOR-043,1,1,1,2,30.3,21.6,24.8
5,6,LCOR-062,0,1,1,2,25.7,28.8,22.5
6,6,LCOR-135,0,0,0,1,33,24.7,31.2
7,6,LCOR-003,0,0,0,1,30,21.4,27.4
8,6,LCOR-191,1,1,1,2,29.6,17.2,26.9
9,6,LCOR-310,0,1,1,1,30.6,22,35.2
10,6,LCOR-251,0,3,3,2,30.7,19.6,31
11,6,LCOR-358,0,3,3,3,22.6,19.3,29.9
12,6,LCOR-363,1,1,1,2,24.3,17.5,25.4
13,6,LCOR-355,1,2,2,2,29.1,16.1,23.7
14,6,LCOR-472,0,0,0,1,26,25.1,30.1
15,6,LCOR-421,0,0,1,2,23.2,20.3,30.3
16,6,LCOR-1102,,,,,,#N/A,
1,7,LCOR-1004,,,,,,#N/A,
2,7,LCOR-177,0,0,0,1,22.8,23.4,31.1
3,7,LCOR-073,0,1,1,1,29.7,24.3,32.5
4,7,LCOR-510,0,0,1,2,27.3,29.7,26
5,7,LCOR-474,0,0,0,1,30.1,28.3,26.5
6,7,LCOR-181,0,0,0,1,31.2,21.9,28.9
7,7,LCOR-148,0,0,0,1,30.5,30.7,33.4
8,7,LCOR-400,0,0,0,1,27.7,21.6,32.9
9,7,LCOR-530,0,0,0,1,28,22.7,28.2
10,7,LCOR-587*,,,,,,18.2,
11,7,LCOR-005,,X,X,,X,24.8,
12,7,LCOR-094,0,0,0,0,26.3,24.4,34.8
13,7,LCOR-296,0,0,0,1,24.1,22.1,29.9
14,7,LCOR-265,1,1,1,2,25.3,29.5,23.2
15,7,LCOR-198,2,4,4,4,25.1,26.4,21.2
16,7,LCOR-1111,,,,,,#N/A,
1,8,LCOR-1005,,,,,,#N/A,
2,8,LCOR-179,0,1,1,1,32.3,27.7,25.2
3,8,LCOR-036,0,2,2,1,29.4,17.9,25.6
4,8,LCOR-279,0,1,1,1,30.1,27.3,29.6
5,8,LCOR-078,0,2,2,1,32.5,29.6,31.2
6,8,LCOR-582,0,2,2,0,31.4,19.6,33.5
7,8,LCOR-385,0,3,3,0,26.3,28.1,33.7
8,8,LCOR-250,0,1,1,0,25.7,19.1,31.8
9,8,LCOR-034,0,3,3,2,24.8,29.9,21.7
10,8,LCOR-255,0,2,2,2,27.1,24.2,23.6
11,8,LCOR-238,2,3,4,4,22.4,#N/A,23.9
12,8,LCOR-254,0,2,2,1,23.6,20.5,26.7
13,8,LCOR-469,1,2,2,3,29.2,25.1,28.5
14,8,LCOR-167,1,3,3,3,25.5,27.8,27.3
15,8,LCOR-274,0,1,2,2,24.8,21.4,26.8
16,8,LCOR-1114,,,,,,#N/A,
1,9,LCOR-1006,,,,,,#N/A,
2,9,LCOR-581,0,0,0,0,25.9,25.4,33.1
3,9,LCOR-001,0,0,0,1,24.7,18.8,26.5
4,9,LCOR-342,1,1,1,2,28.9,22.3,20.5
5,9,LCOR-471,0,1,1,1,27,21.3,27
6,9,LCOR-380,0,1,1,1,28,29.5,29
7,9,LCOR-076,0,1,1,1,26.2,26.1,30.5
8,9,LCOR-163,0,0,0,1,26.8,28.2,30.2
9,9,LCOR-609,0,1,1,,25.4,25.4,
10,9,LCOR-217,1,1,2,2,17.4,29,18.9
11,9,LCOR-231,0,0,0,0,28.9,20.6,30.4
12,9,LCOR-075,1,1,1,1,21.8,25.7,30.2
13,9,LCOR-504,1,2,2,2,27.1,26,26.7
14,9,LCOR-511,0,0,0,0,26.8,27.5,32.4
15,9,LCOR-041,0,0,0,0,27.2,23.5,37.7
16,9,LCOR-1121,,,,,,#N/A,
1,10,LCOR-1007,,,,,,#N/A,
2,10,LCOR-1029,,,,,,#N/A,
3,10,LCOR-023,0,0,0,1,31.4,26.8,29.4
4,10,LCOR-020,0,0,0,1,33.6,25.3,28.2
5,10,LCOR-010,0,1,1,2,29.5,28.4,25.3
6,10,LCOR-292,1,1,1,2,29.6,29.6,24.4
7,10,LCOR-420,0,1,1,1,30.1,17.7,23.3
8,10,LCOR-157,0,1,3,2,30.5,23.4,26.1
9,10,LCOR-226,0,3,3,,26.4,25.8,
10,10,LCOR-263,1,2,2,2,25.9,19,21.9
11,10,LCOR-018,0,2,2,1,22.4,18.4,29.4
12,10,LCOR-286,0,3,3,1,25.1,17.8,36
13,10,LCOR-133,3,3,3,4,16.1,29.1,23.3
14,10,LCOR-039,0,1,1,1,28.1,27.5,28.5
15,10,LCOR-203,1,1,1,1,23.7,21.2,21
16,10,LCOR-1131,,,,,,#N/A,
1,11,LCOR-1008,,,,,,#N/A,
2,11,LCOR-164,0,0,0,1,28.2,22.6,26.5
3,11,LCOR-529,1,1,1,1,31.9,24.9,25.9
4,11,LCOR-386,0,1,1,1,28.3,25.4,28.7
5,11,LCOR-028,0,1,1,1,28,24.4,21.1
6,11,LCOR-527,0,1,1,2,27.5,19.2,27.5
7,11,LCOR-141,0,1,1,,28.2,24.7,
8,11,LCOR-150,1,1,1,1,29,26.9,25.1
9,11,LCOR-233,1,0,0,0,30.5,24.8,30.3
10,11,LCOR-161,1,1,1,0,27.6,19.4,38.6
11,11,LCOR-019,1,2,2,1,28.1,18,33.5
12,11,LCOR-360,2,2,3,3,29.9,22,22.1
13,11,LCOR-289,0,0,1,1,24.2,23.5,33.7
14,11,LCOR-040,0,1,2,2,18.7,29.9,31.9
15,11,LCOR-324,0,0,0,,X,22.2,
16,11,LCOR-1139,,,,,,#N/A,
1,12,LCOR-1009,,,,,,#N/A,
2,12,LCOR-180,0,1,1,1,21.4,25,22.7
3,12,LCOR-403,0,1,1,1,23.7,21.2,24.7
4,12,LCOR-364,0,1,1,2,25.6,28.2,23.7
5,12,LCOR-277,0,0,0,1,24,17.5,33.5
6,12,LCOR-115,1,3,3,,23.5,19.4,
7,12,LCOR-111,1,1,2,2,26.7,19.7,23.4
8,12,LCOR-303,1,1,1,2,30.7,26.6,21
9,12,LCOR-588,0,0,0,1,31.2,29.5,35.4
10,12,LCOR-561,1,0,0,1,33.5,30.6,31.4
11,12,LCOR-035,1,2,2,1,28.8,16.9,29.7
12,12,LCOR-241,0,0,0,1,25.2,29.6,32.4
13,12,LCOR-218,1,3,3,0,27.3,23.5,39.4
14,12,LCOR-002,1,3,3,0,26.4,24.4,43.6
15,12,LCOR-026,2,3,3,3,25.9,29.1,23.3
16,12,LCOR-1201,,,,,,#N/A,
1,13,LCOR-1010,,,,,,#N/A,
2,13,LCOR-066,0,1,1,1,28.2,19.8,25.5
3,13,LCOR-423,0,0,1,1,27.9,30.6,33
4,13,LCOR-200,0,1,1,1,27.7,22.7,28.1
5,13,LCOR-332,0,1,1,,26.3,19,
6,13,LCOR-137,0,1,1,1,31.5,30.1,27.2
7,13,LCOR-338,0,0,0,0,30.3,29.6,30
8,13,LCOR-544,0,1,1,1,22.7,22.9,24
9,13,LCOR-320,0,3,3,1,23.5,30.1,25.9
10,13,LCOR-077,0,0,0,0,26.2,18.4,33.8
11,13,LCOR-593,0,1,1,,24.3,19.8,
12,13,LCOR-088,0,0,0,0,22.2,31,33.4
13,13,LCOR-030,0,0,0,0,28.8,27,33.5
14,13,LCOR-156,1,1,1,0,31.9,17,38.6
15,13,LCOR-051,2,3,4,4,27.6,#N/A,21
16,13,LCOR-1203,,,,,,#N/A,
1,14,LCOR-1011,,,,,,#N/A,
2,14,LCOR-060,1,2,2,1,27.6,26.9,26.9
3,14,LCOR-604,0,0,1,1,28.9,29.3,23
4,14,LCOR-368,2,3,3,3,24.3,16.5,20.7
5,14,LCOR-046,0,0,0,1,22.1,28.7,30.8
6,14,LCOR-031,0,1,1,1,31.7,17.8,30.3
7,14,LCOR-347,0,2,2,2,30.2,29.2,32.7
8,14,LCOR-176,0,1,1,1,30.8,20.3,24.5
9,14,LCOR-269,0,1,1,1,29.7,18.9,30.5
10,14,LCOR-147,0,0,0,1,29.2,16.7,35.7
11,14,LCOR-257,0,0,0,1,28.7,22.5,28.8
12,14,LCOR-256,0,2,2,1,31.5,22.2,30.8
13,14,LCOR-014,0,0,0,0,26.2,28.9,35.4
14,14,LCOR-091,1,3,3,3,28.3,24.6,22.4
15,14,LCOR-264,3,3,4,4,30.3,26.9,22.1
16,14,LCOR-1206,,,,,,#N/A,
1,15,LCOR-116,1,3,3,,missing measurement,#N/A,
2,15,LCOR-486,0,2,2,2,31.2,22.2,25.1
3,15,LCOR-174,,X,X,,X,19.1,
4,15,LCOR-357,1,1,1,1,32.3,19.3,22.5
5,15,LCOR-473,0,1,1,0,35.8,24.5,31.9
6,15,LCOR-525,0,1,1,1,33.4,24.7,29.9
7,15,LCOR-437,0,0,0,1,36.1,28.8,30.9
8,15,LCOR-550,0,1,1,1,28.7,27.1,23.6
9,15,LCOR-307,0,0,0,1,29.2,30.7,29.6
10,15,LCOR-449,0,0,0,1,28.3,26.5,29.2
11,15,LCOR-507,1,2,3,2,27.1,22.1,26.4
12,15,LCOR-154,1,1,1,1,26.3,30,31.3
13,15,LCOR-562,2,3,3,3,28.1,25.2,22
14,15,LCOR-334,2,2,3,,30.1,27.3,
15,15,LCOR-393,1,1,1,1,30.7,24,21.4
16,15,LCOR-1070,,,,,,#N/A,
1,16,LCOR-442,1,1,1,1,missing measurement,#N/A,20.3
2,16,LCOR-247,1,1,1,1,29.2,24.9,23
3,16,LCOR-611,1,1,1,1,27.6,28.8,29.3
4,16,LCOR-327,1,1,1,,24.5,28.4,
5,16,LCOR-528,1,1,1,1,30.1,19.2,23.9
6,16,LCOR-072,0,0,0,0,35.3,16.7,30.2
7,16,LCOR-610,0,1,1,0,34.6,24.1,30.9
8,16,LCOR-516,1,1,2,1,32.5,22.3,19.4
9,16,LCOR-280,0,1,1,1,27.3,18.7,23
10,16,LCOR-033,1,1,1,1,24.5,27.3,27.4
11,16,LCOR-331,1,1,2,,23.7,29.2,
12,16,LCOR-372,1,2,3,2,26.2,22.7,30.2
13,16,LCOR-105,0,1,2,2,25.8,27.2,30.3
14,16,LCOR-352,0,2,2,1,24.6,24.6,23.8
15,16,LCOR-614,1,2,3,3,29.3,29.2,21.6
16,16,LCOR-1035,,,,,,#N/A,
1,17,LCOR-376,1,1,1,1,missing measurement,#N/A,25.3
2,17,LCOR-016,1,1,1,1,31.8,28.6,23.9
3,17,LCOR-132,1,1,1,2,30.4,25.2,26.2
4,17,LCOR-574,1,2,3,3,30.6,19.3,24.2
5,17,LCOR-079,1,1,3,3,29.8,24.3,26.5
6,17,LCOR-458,0,1,1,1,27.5,30.6,24.3
7,17,LCOR-411,0,0,0,1,28.2,29.3,25.8
8,17,LCOR-394,0,0,0,1,29.1,25.5,24.3
9,17,LCOR-275,0,1,1,2,27.7,21.2,18.2
10,17,LCOR-601,0,1,1,,29.9,27.3,
11,17,LCOR-252,1,1,1,,30.5,21.4,
12,17,LCOR-134,4,4,5,5,X,#N/A,NA
13,17,LCOR-502,1,2,2,2,30.1,22,28.1
14,17,LCOR-481,2,2,3,3,28.6,17.2,21
15,17,LCOR-271,1,2,3,2,24.5,24.4,24.6
16,17,LCOR-1062,,,,,,#N/A,
1,18,LCOR-377,1,3,3,1,missing measurement,#N/A,26.7
2,18,LCOR-058,1,2,2,3,29.3,25.7,26.9
3,18,LCOR-052,1,1,1,1,27.4,17.1,29.2
4,18,LCOR-475,0,1,1,1,26.5,24.7,24.9
5,18,LCOR-085,1,2,2,3,28.2,16,26.5
6,18,LCOR-351,2,2,3,3,29.8,21.9,25.8
7,18,LCOR-053,,X,X,,X,#N/A,
8,18,LCOR-302,,X,X,,X,20.4,
9,18,LCOR-1069,,,,,,#N/A,
10,18,LCOR-306,0,0,0,1,26.9,23.9,25.7
11,18,LCOR-392,2,3,3,3,35.2,28,29.4
12,18,LCOR-243,2,2,2,2,30.7,18,22.6
13,18,LCOR-572,1,1,1,2,27.5,23.3,22.2
14,18,LCOR-463,2,3,3,3,28.2,19.2,22.1
15,18,LCOR-260,1,1,2,1,29.7,28.4,25.4
16,18,LCOR-1077,,,,,,#N/A,
1,19,LCOR-548,1,1,1,1,missing measurement,#N/A,27.5
2,19,LCOR-057,2,2,2,,27.7,20,
3,19,LCOR-406,,5,5,5,28.2,#N/A,NA
4,19,LCOR-089,4,4,4,4,28.1,#N/A,22.2
5,19,LCOR-491,1,1,1,1,27.3,23.1,22.9
6,19,LCOR-121,2,2,3,,24.7,29.9,
7,19,LCOR-585,2,2,4,3,29.2,18.8,23.1
8,19,LCOR-554,2,2,3,3,30.3,21.3,28.2
9,19,LCOR-152,0,1,1,1,32.5,25.9,24.5
10,19,LCOR-558,1,1,2,2,31.1,25.2,23
11,19,LCOR-138,1,1,1,1,27.3,20.1,23.6
12,19,LCOR-383,1,1,1,2,24.8,19.1,26.2
13,19,LCOR-568,2,2,2,3,32.5,20.1,21
14,19,LCOR-080,1,1,1,1,30.7,18.6,22.5
15,19,LCOR-391,0,1,1,2,28.3,25.6,25.4
16,19,LCOR-1086,,,,,,#N/A,
1,20,LCOR-553,2,2,3,2,missing measurement,#N/A,22
2,20,LCOR-162,1,1,1,1,19.2,25.1,27.5
3,20,LCOR-242,1,1,1,1,21.6,29,29.5
4,20,LCOR-330,1,1,1,,30.5,29.5,
5,20,LCOR-166,1,1,1,1,27.2,29.7,24.3
6,20,LCOR-512,4,4,4,,26.5,19.3,
7,20,LCOR-059,2,2,2,1,26.4,18.9,29
8,20,LCOR-101,2,2,2,2,25.3,18.7,27.8
9,20,LCOR-067,0,1,1,1,26.6,19.4,27.7
10,20,LCOR-1100,,,,,,#N/A,
11,20,LCOR-103,1,1,1,2,28.2,17.1,18.2
12,20,LCOR-230,2,2,2,3,29.6,22.5,20.2
13,20,LCOR-534,0,1,1,2,28.1,16.9,26.1
14,20,LCOR-261,1,1,1,1,27.2,26,22.7
15,20,LCOR-493,1,1,1,1,30.6,31,19
16,20,LCOR-1087,,,,,,#N/A,
1,21,LCOR-468,2,1,3,3,31.3,#N/A,29.9
2,21,LCOR-098,0,0,0,1,31.5,16.2,28.9
3,21,LCOR-482,1,1,1,1,30.7,19.5,25.4
4,21,LCOR-350,0,1,1,1,27.2,28.7,21.5
5,21,LCOR-129,1,1,1,2,24.3,18.3,17.4
6,21,LCOR-012,1,1,1,1,23.7,16.2,23.8
7,21,LCOR-248,1,0,0,2,24.6,25.5,28.3
8,21,LCOR-476,3,3,3,2,27.2,22.5,28.9
9,21,LCOR-584,1,1,1,1,29.3,20,22.9
10,21,LCOR-518,3,3,3,3,28.4,26.4,22.8
11,21,LCOR-450,1,2,2,2,27.1,27,28.5
12,21,LCOR-017,0,1,1,1,22.5,20.6,20.6
13,21,LCOR-495,0,2,3,3,19.3,23.5,23.6
14,21,LCOR-144,1,2,3,3,21.3,19.2,25
15,21,LCOR-204,1,1,1,1,30.5,25.4,22.6
16,21,LCOR-1142,,,,,23.7,#N/A,
1,22,LCOR-470,1,1,1,1,24.1,#N/A,32.6
2,22,LCOR-616,1,0,0,1,28.2,19.5,30.2
3,22,LCOR-245,5,5,5,5,X,#N/A,NA
4,22,LCOR-165,1,1,2,3,25.6,28.8,17.1
5,22,LCOR-209,1,1,2,3,27.3,22.1,17.8
6,22,LCOR-340,1,1,1,1,28.1,22.7,23.2
7,22,LCOR-326,1,1,1,,26.3,17.5,
8,22,LCOR-149,1,1,1,1,24.7,31,25.3
9,22,LCOR-1015,,,,,27.1,#N/A,
10,22,LCOR-169,2,2,2,2,29.7,20.4,26.7
11,22,LCOR-063,1,2,2,2,28.2,22.1,29.3
12,22,LCOR-483,0,1,1,1,27.6,29.4,20.3
13,22,LCOR-514,1,2,2,2,23.5,19.2,25.2
14,22,LCOR-266,4,4,4,4,24.9,#N/A,24.3
15,22,LCOR-122,1,1,1,,19.3,18.8,
16,22,LCOR-1148,,,,,,#N/A,
1,23,LCOR-485,1,1,1,0,missing measurement,#N/A,31.8
2,23,LCOR-398,1,2,2,1,26.4,27.6,27
3,23,LCOR-171,1,1,1,2,25.9,20.8,21.2
4,23,LCOR-422,4,4,4,5,X,#N/A,NA
5,23,LCOR-319,1,1,1,1,23.5,21,24.1
6,23,LCOR-106,4,4,4,4,X,#N/A,25
7,23,LCOR-445,1,1,1,1,27.2,17.3,21.2
8,23,LCOR-401,1,1,1,1,27.1,27.4,30.1
9,23,LCOR-291,1,1,1,1,28.3,24.6,28.6
10,23,LCOR-207,2,2,2,2,26.4,27.6,27.6
11,23,LCOR-090,0,0,0,1,29.2,23.8,29.7
12,23,LCOR-015,1,1,1,1,30.1,22.6,28.6
13,23,LCOR-202,0,1,1,1,32.3,19,24.2
14,23,LCOR-290,0,0,0,1,30,18.3,30.3
15,23,LCOR-333,1,1,2,,27.2,17.3,
16,23,LCOR-1155,,,,,,#N/A,
1,24,LCOR-489,2,1,2,2,missing measurement,#N/A,30.5
2,24,LCOR-178,1,2,2,2,32.5,18.6,23.9
3,24,LCOR-367,2,2,2,2,30.6,34.2,27.4
4,24,LCOR-608,3,4,4,4,29.1,#N/A,25
5,24,LCOR-229,1,1,1,1,28.3,27.4,24.9
6,24,LCOR-503,3,2,3,3,27.6,20.1,24
7,24,LCOR-339,1,1,1,1,28.8,25.4,23.1
8,24,LCOR-348,1,1,1,1,27.4,29.8,26.4
9,24,LCOR-182,3,2,3,2,28.2,20,20.2
10,24,LCOR-546,1,0,0,1,29.5,26.1,25.3
11,24,LCOR-212,2,2,2,1,33.4,31.3,31.4
12,24,LCOR-404,2,2,2,2,30,27.8,34.6
13,24,LCOR-084,1,0,0,1,24.7,31,32.2
