Row,Column,ID,Predawn_MPA,Section
3,4,LCOR-308,0.25,1
3,5,LCOR-070,0.21,1
10,5,LCOR-092,0.339,2
3,6,LCOR-069,0.835,1
9,6,LCOR-310,0.323,2
10,6,LCOR-251,0.51,2
12,7,LCOR-094,0.241,2
13,7,LCOR-296,0.296,2
8,9,LCOR-163,0.41,2
10,9,LCOR-217,0.16,2
8,10,LCOR-157,0.204,3
14,12,LCOR-002,0.42,4
4,13,LCOR-200,0.392,3
13,13,LCOR-030,0.133,4
6,17,LCOR-458,0.108,5
9,20,LCOR-067,0.225,6
13,24,LCOR-084,0.357,6
15,26,LCOR-508,0.729,6
6,28,LCOR-227,0.192,7
7,46,LCOR-492,0.206,9
3,48,LCOR-505,0.159,9
14,48,LCOR-189,0.195,10
10,49,LCOR-531,0.214,10
7,51,LCOR-419,0.082,11
15,51,LCOR-413,0.096,12
7,52,LCOR-465,0.129,11
14,53,LCOR-444,0.266,12