PRISM Time Series Data,,,,,,
Location:  Lat: 44.5865   Lon: -123.1956   Elev: 64m,,,,,,
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax",,,,,,
Spatial resolution: 4km,,,,,,
Period: 2022-04-01 - 2022-06-09,,,,,,
Dataset: AN81d,,,,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,,,,
Grid Cell Interpolation: Off,,,,,,
Time series generated: 2023-Dec-17,,,,,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,,,,,
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),vpdmin (hPa),vpdmax (hPa)
4/1/22,0,1.1,7.1,13.1,0.01,7.85
4/2/22,1.54,1,8.3,15.5,0.04,8.82
4/3/22,0,3.3,9.2,15,0.11,9.71
4/4/22,22.8,4,9.1,14.2,0.04,7.12
4/5/22,3.24,4,8,12.1,0.41,6.41
4/6/22,0,1.7,7.4,13.1,0.26,8.29
4/7/22,0,1,9.2,17.3,0.39,10.93
4/8/22,0,3.1,13.2,23.3,0.22,16.59
4/9/22,0,2.5,8.2,13.9,0.28,8.35
4/10/22,5.35,1.9,6.9,12,0.15,7.81
4/11/22,14.42,2.1,4.7,7.4,0,2.08
4/12/22,7.7,1.2,5.6,10,0.14,5.61
4/13/22,17.1,0.7,4.4,8.1,0.01,3.74
4/14/22,4.95,0.1,4.2,8.3,0.05,2.76
4/15/22,3.59,-1.1,3.9,8.9,0.05,4.26
4/16/22,0,-1.7,5.3,12.3,0.03,9.47
4/17/22,1.23,-0.5,5.2,11,0.03,6.18
4/18/22,0.52,0,6.3,12.6,0.11,7.71
4/19/22,13.24,4.3,8.1,11.9,0.16,3.22
4/20/22,8.21,2.7,7.2,11.6,0.1,4.24
4/21/22,18.41,2.9,7.2,11.5,0.01,2.44
4/22/22,1.21,3.6,8.7,13.9,0,7.01
4/23/22,1.62,1.9,8.8,15.6,0,7.97
4/24/22,0,1.6,9.9,18.1,0,12.93
4/25/22,0,2,11.5,21,0.02,15.39
4/26/22,0.6,6.1,10.1,14.1,0.5,7.33
4/27/22,1.86,5.8,9.9,14,0.6,7.93
4/28/22,0.83,5.6,9.7,13.8,0.3,7.24
4/29/22,1.39,4.8,9.2,13.5,0.17,6.9
4/30/22,11.29,7,11.3,15.7,0.25,8.89
5/1/22,1.32,6.7,10.3,13.8,0.19,5.07
5/2/22,6.54,6.8,12.2,17.5,0.24,8.74
5/3/22,3.68,6.8,9.2,11.6,0.21,2.95
5/4/22,0,6.1,11.2,16.4,0.38,8.66
5/5/22,6.92,5.8,13.9,21.9,0.47,13.24
5/6/22,11.45,7.1,11.1,15.1,0.13,4.2
5/7/22,9.04,8.9,12.4,16,0.05,5.74
5/8/22,3.65,4.8,8.5,12.2,0.38,5.61
5/9/22,6.1,2.6,6.4,10.1,0.12,3.58
5/10/22,1.28,3.5,7.6,11.8,0.23,5.05
5/11/22,0.71,3.4,9.5,15.5,0.17,9.63
5/12/22,0.97,3,9.7,16.4,0.21,10.67
5/13/22,9.58,1.9,6.4,10.9,0,3.46
5/14/22,23.03,2.9,8,13.2,0.09,4.42
5/15/22,1.12,11.2,15.4,19.7,0.08,7.69
5/16/22,0.01,10.6,15.8,21,0.14,10.85
5/17/22,0,5.7,11.6,17.4,0.2,9.73
5/18/22,3.3,5.6,12.1,18.6,0.29,11.74
5/19/22,1.81,7.1,11.4,15.7,0.67,7.18
5/20/22,0.29,3.4,8.9,14.5,0.27,8.54
5/21/22,0,2,8.9,15.8,0.03,9.03
5/22/22,0,4.1,12.8,21.5,0.19,16.58
5/23/22,0.12,6,14.3,22.6,0.21,18.98
5/24/22,0,7.4,15,22.7,0.4,14.96
5/25/22,0,7.2,15.2,23.2,0.33,17.41
5/26/22,0,10.7,17.4,24.1,0.78,15.51
5/27/22,1.67,11.8,17.6,23.4,0.49,13
5/28/22,0,9.2,13.4,17.6,0.54,9.08
5/29/22,8.53,9.2,12.6,16.1,0.22,4.57
5/30/22,0.05,7.9,11,14.1,0.56,6.53
5/31/22,2.03,6.3,11.5,16.8,0.15,8.51
6/1/22,0,6.8,14.9,23,0.17,15.24
6/2/22,0,9.4,17.2,24.9,0.13,17.16
6/3/22,1.17,9.6,17.5,25.3,0.26,17.95
6/4/22,5.41,11.5,15,18.5,0.11,8.01
6/5/22,17.38,11.7,14.4,17,0.12,2.42
6/6/22,6.53,11.7,15.9,20.2,0.16,8.5
6/7/22,0.66,8.3,13.2,18.1,0.21,8.06
6/8/22,0,7.7,14.1,20.6,0.3,10.7
6/9/22,0,10.7,16.6,22.5,1.09,13.04